Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,26.129999,26.129999,25.690001,25.709999,25.709999,56900
2018-01-02,25.719999,25.980000,25.570000,25.959999,25.959999,105300
2018-01-03,25.959999,26.309999,25.639999,26.209999,26.209999,119400
2018-01-04,26.400000,26.709999,26.270000,26.459999,26.459999,130600
2018-01-05,26.520000,26.670000,26.270000,26.420000,26.420000,69900
2018-01-08,26.420000,26.809999,26.280001,26.709999,26.709999,110500
2018-01-09,26.799999,26.799999,26.110001,26.150000,26.150000,76400
2018-01-10,26.049999,26.320000,26.010000,26.219999,26.219999,97900
2018-01-11,26.219999,26.559999,26.219999,26.410000,26.410000,82900
2018-01-12,26.410000,26.600000,26.340000,26.600000,26.600000,135000
2018-01-16,26.660000,27.139999,26.650000,26.730000,26.730000,88900
2018-01-17,26.860001,26.860001,26.139999,26.440001,26.440001,162300
2018-01-18,26.450001,26.500000,25.969999,26.110001,26.110001,159300
2018-01-19,26.080000,26.480000,25.709999,26.110001,26.110001,175900
2018-01-22,26.080000,26.389999,25.790001,26.350000,26.350000,86800
2018-01-23,26.370001,26.650000,25.950001,26.610001,26.610001,53700
2018-01-24,26.770000,27.230000,26.559999,27.110001,27.110001,167500
2018-01-25,27.160000,27.250000,26.730000,26.980000,26.980000,190800
2018-01-26,27.100000,27.670000,26.620001,26.990000,26.990000,73400
